#Wed Oct 26 18:34:52 BST 2016
120;34;69311715,417394532,320087952,919429320,420156622,119652199,817128380,67521742,611271271,519648502,520065709,719369460,918956710,68592437,615385800,420410472,112403546,419329107,69500619,519321563,88829179,27111663,517059813,23716831,12915517,19820054,120067539,28853830,=
121130;1;27111663,=
1215;1;20049071,=
1217;1;22894873,=
1219;1;89493495,=
121;11;26498676,517227589,27111663,115551104,320361728,620169774,23194173,919157111,20049071,=
122167;1;817081605,=
1221;1;20184306,=
1222;1;718686862,=
122599;1;419955259,=
122;10;620308682,420534995,67604433,718674829,719278370,620124201,118723708,=
1239;1;420410472,=
123;11;69311715,719833748,22264624,520100277,18657129,420410472,68452627,519157821,17286347,720108773,519720133,=
124480;1;17401731,=
1248;3;918161920,=
124;8;519639112,615316366,719833748,918568789,719567622,118953538,817128380,19605714,=
1250;1;19161639,=
1252;1;20184306,=
125;14;917565873,118652275,68592437,320063989,19569124,719304528,520065709,920209962,68489312,416567532,718820931,26329898,22964643,919157111,=
125iadh;1;27711446,=
125iglucagon;2;26329898,=
125iigfi;2;420144629,=
126;9;19213717,719833748,68592437,519228871,817081605,620137488,16244684,319923980,22440315,=
1270;1;519362851,=
1275;1;88736714,=
127;5;68525521,19453132,519144731,22964643,20049071,=
1280;1;719040522,=
128171;1;519884265,=
128833;1;519733160,=
128;2;89655790,417372719,=
129640;1;17401731,=
1298;1;718727460,=
129;7;320145093,19574568,719369460,517374659,119728741,620137433,19762834,=
12aa;1;19924293,=
12ala;9;519766907,519228871,=
12alaallel;1;519228871,=
12dimethylaminoethylnaphthalene7methylsulfonamid;1;88899861,=
12dimethylbenzaanthracen;1;519521986,=
12gus;1;519826919,=
12h;4;320159012,519447368,=
12htreatment;2;320159012,=
12item;1;15222595,=
12month;3;16320441,519863513,19457623,=
12monthsfollowup;1;15747224,=
12myrist;1;19288401,=
12nm;1;219110411,=
12q2223;1;620368421,=
